symbol,value
›,0
œ,1
Ÿ,2
–,3
—,4
‚,5
“,6
†,7
‰,8
•,9
–,10
“,11
ˆ,12
Š,13
‚,14
‚,15
Ž,16
Œ,17
Ÿ,18
ˆ,19
”,20
Œ,21
‰,22
Œ,23
š,24
€,25
”,26
Š,27
Œ,28
•,29
‰,30
ƒ,31
–,32
›,33
Œ,34
ˆ,35
•,36
‘,37
‹,38
Ÿ,39
€,40
‹,41
œ,42
”,43
”,44
š,45
š,46
ƒ,47
“,48
„,49
œ,50
Œ,51
˜,52
”,53
Œ,54
Ž,55
‹,56
”,57
„,58
›,59
–,60
‰,61
†,62
„,63
€,64
‡,65
˜,66
…,67
”,68
–,69
ž,70
‰,71
‘,72
Ÿ,73
’,74
ž,75
€,76
ƒ,77
’,78
‹,79
—,80
‘,81
—,82
”,83
Š,84
‘,85
š,86
‰,87
Š,88
…,89
“,90
–,91
‹,92
Ž,93
•,94
…,95
’,96
Š,97
‚,98
œ,99
„,100
“,101
ˆ,102
‘,103
†,104
‰,105
†,106
€,107
”,108
—,109
™,110
Š,111
™,112
‹,113
œ,114
‘,115
‡,116
…,117
†,118
ž,119
Š,120
‰,121
œ,122
œ,123
˜,124
ƒ,125
–,126
‘,127
˜,128
‹,129
“,130
™,131
œ,132
œ,133
–,134
—,135
‘,136
‘,137
‡,138
ˆ,139
Š,140
…,141
‘,142
š,143
™,144
’,145
—,146
–,147
ƒ,148
ˆ,149
š,150
„,151
‚,152
Ž,153
˜,154
œ,155
Ž,156
‚,157
—,158
‹,159
‰,160
…,161
—,162
’,163
†,164
€,165
Ÿ,166
‰,167
‘,168
Œ,169
•,170
‘,171
“,172
™,173
‡,174
‰,175
–,176
˜,177
Š,178
›,179
ƒ,180
•,181
…,182
š,183
‡,184
†,185
ƒ,186
†,187
™,188
Š,189
—,190
Ÿ,191
’,192
“,193
‡,194
‡,195
œ,196
†,197
“,198
Œ,199
ž,200
‹,201
ˆ,202
•,203
–,204
•,205
†,206
‚,207
‹,208
†,209
•,210
“,211
‚,212
˜,213
‡,214
‰,215
•,216
†,217
‘,218
Š,219
‚,220
‘,221
—,222
‡,223
Š,224
Ž,225
›,226
Ž,227
‡,228
‹,229
•,230
€,231
Ÿ,232
Ÿ,233
Š,234
‡,235
š,236
‘,237
—,238
›,239
“,240
Ž,241
“,242
†,243
’,244
Ÿ,245
Š,246
ž,247
ž,248
„,249
š,250
‰,251
‘,252
ƒ,253
ˆ,254
œ,255
œ,256
‚,257
Ÿ,258
‡,259
“,260
ƒ,261
’,262
‹,263
„,264
Ž,265
š,266
›,267
œ,268
’,269
‚,270
‰,271
š,272
—,273
‹,274
•,275
œ,276
„,277
‰,278
ž,279
€,280
€,281
š,282
”,283
‚,284
–,285
‹,286
‘,287
ž,288
Ž,289
Ÿ,290
Œ,291
–,292
Œ,293
ˆ,294
›,295
”,296
‘,297
˜,298
ƒ,299
‰,300
‹,301
—,302
‘,303
†,304
˜,305
–,306
š,307
ž,308
€,309
–,310
™,311
˜,312
ˆ,313
˜,314
š,315
œ,316
‹,317
“,318
Œ,319
—,320
Œ,321
”,322
’,323
…,324
…,325
”,326
Š,327
Š,328
ƒ,329
†,330
‹,331
‘,332
‹,333
™,334
—,335
€,336
‚,337
Š,338
”,339
•,340
„,341
Š,342
‡,343
€,344
„,345
‹,346
…,347
…,348
ƒ,349
—,350
ˆ,351
—,352
ƒ,353
š,354
Œ,355
Š,356
†,357
“,358
œ,359
‡,360
Ž,361
™,362
‚,363
„,364
–,365
š,366
Ž,367
‡,368
—,369
†,370
‡,371
š,372
“,373
†,374
‹,375
Ÿ,376
”,377
ˆ,378
‚,379
’,380
•,381
€,382
‰,383
„,384
–,385
Œ,386
„,387
•,388
™,389
ž,390
š,391
˜,392
Š,393
€,394
‡,395
ˆ,396
’,397
›,398
–,399
…,400
‡,401
€,402
‹,403
š,404
Ÿ,405
‹,406
˜,407
„,408
—,409
™,410
Œ,411
‹,412
›,413
ƒ,414
†,415
€,416
„,417
™,418
Š,419
‰,420
™,421
›,422
”,423
€,424
…,425
‰,426
ƒ,427
“,428
Ÿ,429
–,430
Ž,431
—,432
ƒ,433
‘,434
†,435
”,436
—,437
€,438
“,439
’,440
…,441
›,442
œ,443
ƒ,444
…,445
ˆ,446
ƒ,447
Œ,448
•,449
—,450
š,451
“,452
†,453
ž,454
…,455
†,456
‡,457
‹,458
ˆ,459
„,460
•,461
Š,462
„,463
ˆ,464
Ž,465
Œ,466
š,467
Ž,468
…,469
›,470
Š,471
‰,472
™,473
„,474
„,475
—,476
—,477
‡,478
‰,479
’,480
Œ,481
–,482
ž,483
ƒ,484
‚,485
…,486
‘,487
’,488
Ÿ,489
ƒ,490
—,491
–,492
ˆ,493
‰,494
”,495
‡,496
€,497
Œ,498
œ,499
